ranking,id_cliente,segmento,perfil_risco,tipo_cliente,prioridade,score_gap_total,pl_brl,pct_offshore,pct_cdi,saldo_conta_global_usd,caixa_parado_usd,dias_sem_remessa,dolar_medio_compra,motivo_principal,cluster_nome,cluster
811,G0123,Qualificado,Conservador,PJ,ALTO,47.0,419878.76,0.0768,0.8276,14525.24,5488.88,39,5.9043,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
812,G1820,Alta Renda,Moderado,PF,ALTO,47.0,6244841.28,0.0317,0.5782,94449.76,11659.0,29,3.9609,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
813,G0532,Investidor,Arrojado,PF,ALTO,47.0,4115914.86,0.0551,0.6221,31568.0,1253.14,39,7.594,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
814,G1745,Investidor,Moderado,PF,ALTO,47.0,1300686.67,0.0498,0.523,14212.28,2294.59,8,5.58,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
815,G1026,Investidor,Moderado,PF,ALTO,47.0,1325475.07,0.0212,0.4597,22156.42,8243.74,41,4.6734,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
816,G2412,Alta Renda,Moderado,PF,ALTO,47.0,30000000.0,0.0522,0.5141,81930.42,51818.48,27,4.6784,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
817,G2919,Wealth,Moderado,PF,ALTO,47.0,72992863.54,0.1143,0.344,584534.97,70554.22,35,5.8024,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
818,G0715,Investidor,Arrojado,PF,ALTO,47.0,1538503.41,0.0657,0.6089,16916.29,1505.08,56,6.5997,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
819,G0446,Qualificado,Moderado,PF,ALTO,47.0,180820.3,0.0434,0.7728,10000.0,1729.33,2,5.9988,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
820,G1488,Investidor,Conservador,PF,ALTO,46.75,1317052.61,0.0684,0.3655,119446.51,50226.45,8,6.064,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
821,G2077,Alta Renda,Moderado,PF,ALTO,46.75,18612805.49,0.117,0.3293,126080.27,77085.43,37,5.5895,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
822,G1678,Investidor,Sofisticado,PF,ALTO,46.75,793699.36,0.106,0.654,176560.55,47915.01,12,3.5722,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
823,G0821,Investidor,Moderado,PF,ALTO,46.75,797732.46,0.048,0.4028,34962.6,18971.49,21,5.8776,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
824,G0699,Investidor,Conservador,PF,ALTO,46.75,1187623.56,0.0046,0.1674,64341.74,8816.35,48,4.9967,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
825,G0882,Investidor,Conservador,PF,ALTO,46.75,1182063.47,0.1004,0.5348,49336.11,29295.78,56,5.8623,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
826,G0905,Investidor,Moderado,PF,ALTO,46.75,1450982.97,0.0334,0.5093,54470.17,6304.62,7,5.0349,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
827,G0012,Qualificado,Moderado,PF,ALTO,46.75,147453.14,0.0276,0.6432,11735.69,3530.3,45,3.5,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
828,G1633,Investidor,Conservador,PF,ALTO,46.5,4959833.15,0.0385,0.4141,17646.3,4865.73,67,5.0671,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
829,G1513,Investidor,Conservador,PF,ALTO,46.5,1002863.01,0.0531,0.818,73672.57,9450.57,16,5.1103,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
830,G0314,Qualificado,Conservador,PF,ALTO,46.5,168998.64,0.0147,0.6805,10000.0,2978.16,57,4.2187,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
831,G2241,Alta Renda,Moderado,PJ,ALTO,46.5,5000000.0,0.0307,0.5379,28375.15,2763.51,51,4.5785,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
832,G2312,Alta Renda,Moderado,PF,ALTO,46.5,6985293.82,0.0203,0.5761,16924.32,3978.07,12,4.8872,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
833,G2716,Alta Renda,Arrojado,PF,ALTO,46.5,5000000.0,0.1096,0.426,217626.95,69722.02,57,5.812,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
834,G2417,Alta Renda,Arrojado,PF,ALTO,46.5,7431811.77,0.0893,0.3109,192001.54,85334.48,49,4.9504,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
835,G0056,Qualificado,Arrojado,PJ,ALTO,46.5,198482.74,0.0,0.648,10000.0,2330.26,10,4.7086,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
836,G1648,Investidor,Moderado,PF,ALTO,46.5,2449599.4,0.0091,0.6865,11695.9,4218.79,10,3.6017,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
837,G0549,Investidor,Moderado,PF,ALTO,46.25,500000.0,0.094,0.5443,39884.5,14765.17,99,5.2221,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
838,G2711,Alta Renda,Conservador,PF,ALTO,46.25,7377355.33,0.0679,0.5828,51825.27,8838.43,61,5.0972,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
839,G1991,Alta Renda,Moderado,PF,ALTO,46.25,6943918.32,0.0769,0.4045,170156.11,3093.87,24,6.6093,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
840,G0963,Investidor,Conservador,PF,ALTO,46.25,1319544.28,0.0751,0.5767,48205.48,28687.75,27,4.7609,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
841,G1655,Investidor,Arrojado,PF,ALTO,46.25,5000000.0,0.0257,0.4304,40175.32,4932.93,38,5.5006,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
842,G0252,Qualificado,Conservador,PF,ALTO,46.25,151862.79,0.0254,0.6808,14046.58,3333.17,10,4.8173,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
843,G0401,Qualificado,Conservador,PF,ALTO,46.25,115829.27,0.0385,0.621,31156.29,5949.12,11,5.6749,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
844,G0536,Investidor,Arrojado,PJ,ALTO,46.25,1901997.31,0.0318,0.6142,28095.57,7307.21,10,4.938,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
845,G0742,Investidor,Moderado,PJ,ALTO,46.25,1718060.18,0.052,0.6171,20907.27,6641.75,159,4.4516,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
846,G1847,Alta Renda,Arrojado,PF,ALTO,46.25,30000000.0,0.0539,0.4339,584493.94,72674.23,28,5.2873,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
847,G0706,Investidor,Moderado,PF,ALTO,46.25,3037632.21,0.0694,0.7225,31607.74,15027.77,43,4.0366,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
848,G0238,Qualificado,Moderado,PJ,ALTO,46.25,100000.0,0.0691,0.707,10732.08,2892.61,50,8.0,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
849,G0169,Qualificado,Conservador,PF,ALTO,46.0,100000.0,0.0179,0.6332,15295.51,3762.5,9,4.493,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
850,G1531,Investidor,Conservador,PF,ALTO,46.0,1527209.21,0.0362,0.5271,43193.02,10384.09,49,4.5157,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
851,G2982,Wealth,Conservador,PF,ALTO,46.0,39092845.15,0.0794,0.4133,255061.24,124598.26,8,3.9962,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
852,G0624,Investidor,Arrojado,PF,ALTO,46.0,720760.04,0.1156,0.6482,19811.05,7724.76,24,7.2309,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
853,G0304,Qualificado,Sofisticado,PF,ALTO,46.0,168337.67,0.0262,0.6761,12928.11,1159.49,69,4.9987,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
854,G0725,Investidor,Moderado,PF,ALTO,46.0,595565.63,0.1198,0.4841,18303.93,10581.28,288,4.7903,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
855,G0234,Qualificado,Moderado,PF,ALTO,46.0,365853.52,0.0543,0.5824,21119.08,9059.65,89,4.1349,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
856,G1074,Investidor,Conservador,PF,ALTO,46.0,2104659.03,0.0442,0.5841,60115.94,1725.89,75,4.3175,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
857,G2460,Alta Renda,Sofisticado,PF,ALTO,46.0,20260807.14,0.0812,0.501,95809.81,31454.14,7,6.3154,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
858,G2503,Alta Renda,Moderado,PF,ALTO,46.0,22082296.79,0.0981,0.7274,224607.86,14393.48,9,5.6925,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
859,G2298,Alta Renda,Conservador,PF,ALTO,46.0,13961188.92,0.1654,0.4592,317726.26,97378.17,43,5.8409,Caixa parado na conta internacional,Alto Risco — CDI Excessivo,1
860,G1062,Investidor,Moderado,PF,ALTO,46.0,1826580.57,0.0867,0.7725,95016.39,37625.66,19,5.5897,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
861,G0658,Investidor,Arrojado,PJ,ALTO,46.0,874256.89,0.1116,0.506,74804.12,35635.44,69,5.3632,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
862,G0738,Investidor,Moderado,PF,ALTO,46.0,500000.0,0.0243,0.4333,27369.79,8799.79,49,4.5041,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
863,G1143,Investidor,Arrojado,PF,ALTO,46.0,3800934.85,0.013,0.5057,15575.43,4779.9,6,5.1038,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
864,G1284,Investidor,Moderado,PF,ALTO,46.0,1706463.35,0.0778,0.6232,69148.61,13448.67,70,5.247,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
865,G0583,Investidor,Conservador,PJ,ALTO,46.0,819644.96,0.0459,0.4057,19706.52,4684.55,11,6.3587,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
866,G2078,Alta Renda,Moderado,PF,ALTO,46.0,8349608.86,0.0347,0.6286,56026.16,9282.75,19,4.2001,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
867,G0826,Investidor,Arrojado,PF,ALTO,46.0,2428617.95,0.0816,0.6028,29961.07,17704.03,74,4.741,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
868,G2505,Alta Renda,Conservador,PF,ALTO,45.75,16673879.19,0.0516,0.5093,335802.97,22429.27,19,5.5912,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
869,G2346,Alta Renda,Moderado,PF,ALTO,45.75,9217026.51,0.1171,0.2481,124296.31,68616.39,21,6.6087,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
870,G0283,Qualificado,Moderado,PJ,ALTO,45.75,158435.08,0.0279,0.8092,12656.92,2873.2,17,4.4877,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
871,G2222,Alta Renda,Moderado,PF,ALTO,45.75,30000000.0,0.15,0.48,378195.75,178206.11,67,4.5998,Caixa parado na conta internacional,Alto Risco — CDI Excessivo,1
872,G1463,Investidor,Arrojado,PF,ALTO,45.75,1525226.58,0.0832,0.5114,94566.06,13763.81,82,4.7109,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
873,G0195,Qualificado,Conservador,PF,ALTO,45.75,337111.71,0.0101,0.3586,20435.9,152.54,22,6.3858,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
874,G0191,Qualificado,Conservador,PF,ALTO,45.75,107520.8,0.0717,0.6185,20054.76,12474.82,3,6.7353,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
875,G2691,Alta Renda,Conservador,PF,ALTO,45.75,5320898.23,0.0589,0.5664,68315.76,27932.03,34,4.3691,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
876,G0239,Qualificado,Moderado,PF,ALTO,45.75,100000.0,0.046,0.6953,10313.13,533.86,54,3.8924,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
877,G1653,Investidor,Conservador,PJ,ALTO,45.75,560177.69,0.0593,0.6532,21460.46,11938.76,14,6.6825,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
878,G0007,Qualificado,Conservador,PF,ALTO,45.5,121751.94,0.0735,0.4543,12892.08,7410.27,107,5.7251,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
879,G2046,Alta Renda,Moderado,PF,ALTO,45.5,7299873.49,0.1324,0.3613,282197.09,139524.39,51,5.0453,Caixa parado na conta internacional,Alto Risco — CDI Excessivo,1
880,G1339,Investidor,Arrojado,PF,ALTO,45.5,2765564.4,0.0657,0.6004,70424.67,16425.08,13,5.7498,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
881,G2160,Alta Renda,Sofisticado,PF,ALTO,45.5,5000000.0,0.0458,0.3916,32157.53,13999.23,8,4.9861,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
882,G0124,Qualificado,Conservador,PF,ALTO,45.5,272071.41,0.0275,0.6049,10000.0,2788.58,14,5.6071,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
883,G2513,Alta Renda,Moderado,PF,ALTO,45.5,8109321.68,0.101,0.2603,224553.46,33971.87,204,4.4411,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
884,G1446,Investidor,Moderado,PF,ALTO,45.5,3303995.08,0.0395,0.6279,10000.0,547.17,10,5.4402,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
885,G1728,Investidor,Arrojado,PF,ALTO,45.5,1043834.84,0.1174,0.5905,70859.07,18674.37,22,6.8129,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
886,G0852,Investidor,Moderado,PF,ALTO,45.25,2148923.48,0.0417,0.5293,24703.55,5927.39,40,4.3147,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
887,G2111,Alta Renda,Moderado,PF,ALTO,45.25,23663146.43,0.0825,0.4786,63664.93,11202.91,30,6.8725,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
888,G1011,Investidor,Moderado,PF,ALTO,45.25,1128671.93,0.0878,0.6575,49702.96,11070.27,40,6.4011,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
889,G2158,Alta Renda,Sofisticado,PF,ALTO,45.25,6823632.48,0.1092,0.5229,141796.67,31063.75,20,5.2627,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
890,G0142,Qualificado,Conservador,PF,ALTO,45.25,154441.07,0.0529,0.718,26807.61,10344.25,33,4.3709,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
891,G2545,Alta Renda,Moderado,PF,ALTO,45.25,16352934.16,0.0883,0.131,117766.78,26699.34,81,7.7296,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
892,G1393,Investidor,Moderado,PF,ALTO,45.25,1161001.69,0.0941,0.5187,41101.37,31257.06,9,5.612,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
893,G1181,Investidor,Conservador,PF,ALTO,45.25,500000.0,0.0886,0.5822,23847.11,6222.42,69,8.0,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
894,G1170,Investidor,Arrojado,PF,ALTO,45.25,567635.64,0.1128,0.5075,62836.05,33566.34,13,5.5755,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
895,G1911,Alta Renda,Sofisticado,PF,ALTO,45.25,9582903.96,0.0546,0.3863,74011.7,29162.69,8,5.6361,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
896,G2055,Alta Renda,Arrojado,PJ,ALTO,45.25,30000000.0,0.0691,0.4154,33903.03,5108.74,6,6.9203,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
897,G0513,Investidor,Moderado,PF,ALTO,45.25,5000000.0,0.0207,0.6298,19423.51,2137.14,16,5.2049,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
898,G0469,Investidor,Arrojado,PF,ALTO,45.25,3887595.53,0.0788,0.424,67637.87,37283.52,29,6.0322,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
899,G1711,Investidor,Moderado,PF,ALTO,45.0,744148.89,0.0613,0.4558,33985.52,22977.8,15,6.1186,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
900,G2737,Alta Renda,Moderado,PF,ALTO,45.0,7849601.16,0.0969,0.4355,245692.71,129551.89,7,5.3382,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
901,G1004,Investidor,Sofisticado,PF,ALTO,45.0,724234.43,0.0392,0.3983,40582.48,11469.53,34,4.5266,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
902,G1903,Alta Renda,Moderado,PF,ALTO,45.0,12030975.45,0.0766,0.3729,193255.1,64143.06,23,4.7296,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
903,G1289,Investidor,Moderado,PF,ALTO,45.0,2646585.31,0.0437,0.5792,24689.22,3903.27,20,4.3144,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
904,G1425,Investidor,Moderado,PJ,ALTO,45.0,2264045.8,0.0575,0.4947,139847.63,54300.81,10,5.0768,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
905,G1394,Investidor,Conservador,PF,ALTO,45.0,4014867.25,0.0502,0.4828,26318.29,16554.93,42,5.034,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
906,G2000,Alta Renda,Arrojado,PF,ALTO,45.0,14950584.95,0.119,0.4309,102921.95,45623.41,14,6.2635,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
907,G1538,Investidor,Conservador,PF,ALTO,45.0,931164.36,0.1377,0.5492,35660.15,16288.56,253,6.6943,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
908,G1533,Investidor,Conservador,PF,ALTO,45.0,4307345.61,0.0317,0.4692,21866.31,7472.78,40,4.9886,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
909,G1942,Alta Renda,Sofisticado,PF,ALTO,45.0,12065149.93,0.0,0.5329,85268.9,21711.22,12,3.5,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
910,G1697,Investidor,Moderado,PF,ALTO,45.0,1571235.01,0.0678,0.4929,19891.35,13571.31,5,7.6135,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
911,G0632,Investidor,Conservador,PJ,ALTO,45.0,515350.71,0.1162,0.5274,29131.72,6128.3,100,5.1868,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
912,G2582,Alta Renda,Moderado,PF,MODERADO,44.75,5328719.86,0.0826,0.6273,323491.04,14495.62,87,4.79,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
913,G1464,Investidor,Conservador,PF,MODERADO,44.75,1648828.66,0.0322,0.5618,24517.44,2907.63,26,4.8533,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
914,G0842,Investidor,Conservador,PF,MODERADO,44.75,2702042.67,0.0387,0.4526,36922.23,19780.43,8,4.7041,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
915,G1940,Alta Renda,Sofisticado,PF,MODERADO,44.75,27796935.96,0.1403,0.5472,538163.27,202818.72,18,6.3535,Caixa parado na conta internacional,Urgente — Grande Gap Offshore,0
916,G1735,Investidor,Arrojado,PF,MODERADO,44.75,2082520.84,0.0797,0.4123,107449.18,38619.14,9,5.0567,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
917,G0379,Qualificado,Moderado,PJ,MODERADO,44.75,334480.46,0.0369,0.5029,25011.09,1826.33,7,6.8237,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
918,G2532,Alta Renda,Conservador,PF,MODERADO,44.75,28708259.93,0.067,0.2545,69209.29,37297.11,37,5.0465,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
919,G1612,Investidor,Moderado,PF,MODERADO,44.75,1555280.46,0.0215,0.5234,28084.6,1545.06,9,5.828,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
920,G0647,Investidor,Arrojado,PF,MODERADO,44.75,2205964.88,0.0759,0.511,44866.08,22894.51,17,6.2498,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
921,G2256,Alta Renda,Sofisticado,PJ,MODERADO,44.75,11355253.82,0.0402,0.3912,51839.59,5350.82,30,4.4214,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
922,G1707,Investidor,Moderado,PF,MODERADO,44.75,1216341.79,0.0452,0.4371,37662.93,13525.11,27,5.2042,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
923,G1037,Investidor,Arrojado,PF,MODERADO,44.75,789540.33,0.088,0.7015,65130.24,15860.95,25,5.7979,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
924,G1112,Investidor,Moderado,PF,MODERADO,44.5,1178250.76,0.0571,0.6902,36627.83,8554.89,5,4.5263,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
925,G0606,Investidor,Conservador,PF,MODERADO,44.5,1140071.22,0.0786,0.5892,11581.09,2709.48,21,7.0723,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
926,G2604,Alta Renda,Moderado,PF,MODERADO,44.5,18089721.98,0.0982,0.3597,245644.69,66224.42,18,5.1371,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
927,G0883,Investidor,Moderado,PF,MODERADO,44.5,1810449.44,0.0737,0.3685,30043.81,14544.35,24,8.0,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
928,G1547,Investidor,Conservador,PF,MODERADO,44.5,2277715.18,0.0358,0.4568,70121.38,13092.43,21,4.1724,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
929,G2644,Alta Renda,Conservador,PF,MODERADO,44.5,8939276.61,0.083,0.3645,259935.06,97553.81,51,4.7074,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
930,G2593,Alta Renda,Moderado,PJ,MODERADO,44.5,8680216.88,0.0073,0.3913,45392.45,9855.23,40,4.4955,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
931,G0077,Qualificado,Conservador,PF,MODERADO,44.5,268216.9,0.0657,0.5662,28080.57,15400.78,44,5.3958,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
932,G1851,Alta Renda,Moderado,PF,MODERADO,44.5,9714488.62,0.0825,0.5848,53215.2,24907.36,23,6.0122,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
933,G2017,Alta Renda,Moderado,PF,MODERADO,44.5,5000000.0,0.108,0.5164,60965.32,6380.87,16,7.1198,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
934,G0313,Qualificado,Moderado,PF,MODERADO,44.5,500000.0,0.0481,0.6326,22464.09,6382.9,37,5.2293,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
935,G1459,Investidor,Conservador,PF,MODERADO,44.5,500000.0,0.0408,0.4944,111041.77,4902.95,8,5.2104,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
936,G0747,Investidor,Conservador,PF,MODERADO,44.5,1321157.75,0.0811,0.4577,69553.78,6819.0,61,5.5018,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
937,G2961,Wealth,Moderado,PF,MODERADO,44.5,147733859.3,0.1106,0.3543,969756.94,399003.15,10,4.872,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
938,G1366,Investidor,Moderado,PF,MODERADO,44.5,900275.68,0.1142,0.503,69049.23,44364.09,35,4.6966,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
939,G0004,Qualificado,Arrojado,PF,MODERADO,44.5,205243.38,0.0401,0.7149,18533.21,3102.61,26,3.8413,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
940,G1977,Alta Renda,Moderado,PF,MODERADO,44.5,24193438.45,0.1388,0.5331,442467.07,257802.24,14,4.759,Caixa parado na conta internacional,Alto Risco — CDI Excessivo,1
941,G1042,Investidor,Arrojado,PF,MODERADO,44.25,2041701.97,0.0248,0.5631,10000.0,4334.2,22,5.3034,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
942,G0228,Qualificado,Conservador,PF,MODERADO,44.25,432040.19,0.0678,0.5726,15480.54,8426.8,16,5.9838,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
943,G0686,Investidor,Arrojado,PF,MODERADO,44.25,943715.23,0.1099,0.6674,10000.0,3537.07,55,6.8203,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
944,G2719,Alta Renda,Moderado,PF,MODERADO,44.25,15524376.57,0.0544,0.4509,22100.25,9576.02,7,6.5308,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
945,G1813,Alta Renda,Conservador,PF,MODERADO,44.25,5000000.0,0.1243,0.5388,226711.25,58416.65,36,5.6158,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
946,G2154,Alta Renda,Moderado,PF,MODERADO,44.25,12210024.85,0.1201,0.4057,117007.91,22345.51,341,5.1206,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
947,G2538,Alta Renda,Moderado,PF,MODERADO,44.25,30000000.0,0.0324,0.3636,195816.44,66188.88,8,4.5703,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo,1
948,G2205,Alta Renda,Arrojado,PF,MODERADO,44.25,19346448.83,0.0999,0.4045,257070.61,146866.06,41,4.9017,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
949,G1186,Investidor,Moderado,PF,MODERADO,44.25,3169228.91,0.0781,0.4239,186197.13,48563.78,40,4.1381,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
950,G1136,Investidor,Conservador,PJ,MODERADO,44.25,1616517.4,0.0483,0.6966,10000.0,330.57,29,3.9661,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
951,G1842,Alta Renda,Arrojado,PF,MODERADO,44.25,11119559.8,0.0967,0.3931,185412.9,36482.53,38,5.7086,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
952,G2088,Alta Renda,Moderado,PF,MODERADO,44.25,30000000.0,0.0123,0.3822,143559.29,18524.2,23,4.9925,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
953,G0986,Investidor,Conservador,PF,MODERADO,44.25,1121528.57,0.0822,0.6108,22567.03,3643.35,179,5.3744,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
954,G0269,Qualificado,Conservador,PF,MODERADO,44.25,226667.35,0.0722,0.7166,18202.45,3595.28,40,6.2864,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
955,G1565,Investidor,Conservador,PF,MODERADO,44.25,2853812.35,0.0765,0.5459,50609.71,14416.13,6,5.3943,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
956,G1548,Investidor,Moderado,PF,MODERADO,44.25,2278030.56,0.0456,0.6189,50786.86,13547.71,15,3.8794,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
957,G1156,Investidor,Moderado,PF,MODERADO,44.25,797856.84,0.0396,0.66,31083.59,13283.35,11,4.8046,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
