Rank,ID,Segmento,Perfil,Tipo,Prioridade,Score,PL (R$),% Offshore,% CDI,Saldo Global (USD),Caixa Parado (USD),Dias s/Remessa,Dólar Médio (R$),Motivo Principal,Perfil Comportamental
148,G0575,Investidor,Conservador,PF,CRÍTICO,63.75,1238109.94,0.0,0.5928,78618.63,22668.8,41,5.3846,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
149,G0075,Qualificado,Conservador,PJ,CRÍTICO,63.5,126747.01,0.0,0.7682,10000.0,3567.95,8,4.4677,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
150,G1708,Investidor,Moderado,PF,CRÍTICO,63.5,1225103.29,0.0,0.6737,30225.19,8651.23,12,6.0821,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
151,G1086,Investidor,Moderado,PF,CRÍTICO,63.5,2431940.83,0.0411,0.7457,114048.86,26680.7,10,6.8781,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
152,G0847,Investidor,Moderado,PF,CRÍTICO,63.5,1850962.12,0.0,0.4925,37218.56,19339.33,12,5.1602,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
153,G0203,Qualificado,Conservador,PF,CRÍTICO,63.5,136658.25,0.0,0.6274,32022.14,1853.75,36,5.4385,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
154,G1859,Alta Renda,Moderado,PF,CRÍTICO,63.5,8788549.25,0.0,0.3474,132415.56,13843.28,59,6.1049,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
155,G0794,Investidor,Conservador,PF,CRÍTICO,63.5,1440477.96,0.0,0.5173,29062.71,6394.03,37,7.0623,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
156,G2016,Alta Renda,Moderado,PJ,CRÍTICO,63.5,26534639.25,0.1038,0.5029,204146.45,123468.38,75,6.5174,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
157,G1468,Investidor,Conservador,PF,CRÍTICO,63.5,1034831.52,0.0026,0.4141,121862.96,37846.81,8,7.2992,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
158,G0987,Investidor,Conservador,PF,CRÍTICO,63.25,1615234.05,0.0,0.5326,20599.13,2913.55,66,5.5882,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
159,G1012,Investidor,Moderado,PF,CRÍTICO,63.25,1743397.46,0.0,0.5036,18104.64,11498.77,45,6.0663,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
160,G1573,Investidor,Moderado,PF,CRÍTICO,63.25,3249207.74,0.0029,0.6542,42284.62,15739.32,75,5.2458,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
161,G2646,Alta Renda,Conservador,PF,CRÍTICO,63.0,10979908.23,0.0,0.4301,78440.69,6125.81,30,5.9002,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
162,G0934,Investidor,Arrojado,PF,CRÍTICO,63.0,2409623.14,0.0,0.5678,193664.49,64084.71,41,4.1788,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
163,G2514,Alta Renda,Moderado,PF,CRÍTICO,63.0,14597707.32,0.0,0.5132,19682.92,1753.44,60,5.1883,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
164,G0916,Investidor,Moderado,PF,CRÍTICO,63.0,500000.0,0.0,0.3148,124740.84,87558.78,9,3.5377,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
165,G1983,Alta Renda,Arrojado,PF,CRÍTICO,63.0,10253189.77,0.0,0.3952,386800.85,168390.92,34,5.7205,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
166,G0324,Qualificado,Moderado,PF,CRÍTICO,63.0,342510.58,0.0,0.6434,10000.0,3583.77,63,5.1545,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
167,G2662,Alta Renda,Moderado,PF,CRÍTICO,63.0,7709529.01,0.0,0.5118,231095.09,45964.61,22,5.9738,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
168,G0816,Investidor,Conservador,PF,CRÍTICO,63.0,3948721.77,0.0,0.6506,75793.61,15164.96,16,4.4899,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
169,G2723,Alta Renda,Moderado,PF,CRÍTICO,63.0,18756873.21,0.0,0.5732,114821.25,16461.76,8,5.1418,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
170,G1852,Alta Renda,Moderado,PF,CRÍTICO,63.0,9363088.32,0.0,0.5949,125273.43,45193.95,9,3.964,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
171,G0445,Qualificado,Moderado,PF,CRÍTICO,63.0,163673.95,0.0,0.6664,13206.38,3488.66,80,5.1782,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
172,G0590,Investidor,Arrojado,PF,CRÍTICO,62.75,1023050.03,0.0,0.5888,35863.57,17486.8,10,5.9631,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
173,G0113,Qualificado,Conservador,PF,CRÍTICO,62.75,259035.68,0.0,0.7851,19877.4,8612.44,26,4.7421,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
174,G0002,Qualificado,Conservador,PF,CRÍTICO,62.75,201195.08,0.0,0.7681,10000.0,2213.67,42,4.5521,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
175,G2220,Alta Renda,Arrojado,PF,CRÍTICO,62.75,7395057.09,0.0,0.4245,316729.23,69338.53,39,6.264,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
176,G2214,Alta Renda,Moderado,PF,CRÍTICO,62.75,9325315.04,0.103,0.4958,518629.59,238307.72,116,6.3209,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
177,G1784,Investidor,Conservador,PF,CRÍTICO,62.5,500000.0,0.0,0.6149,27073.66,6192.5,38,5.3096,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
178,G1300,Investidor,Moderado,PF,CRÍTICO,62.5,2935764.91,0.0,0.4607,39820.3,18143.19,6,5.0017,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
179,G1763,Investidor,Conservador,PJ,CRÍTICO,62.5,645935.61,0.0,0.6068,17995.79,2180.91,26,6.7646,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
180,G1625,Investidor,Moderado,PF,CRÍTICO,62.25,1762326.31,0.0,0.5056,53932.68,19789.57,21,4.9065,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
181,G1597,Investidor,Conservador,PF,CRÍTICO,62.25,1758581.08,0.0,0.6453,32098.47,10769.2,6,5.538,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
182,G0423,Qualificado,Conservador,PF,CRÍTICO,62.25,168382.11,0.0,0.6537,10000.0,2038.37,11,5.9124,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
183,G0421,Qualificado,Moderado,PF,CRÍTICO,62.25,170860.08,0.0,0.6839,23331.59,1072.19,39,5.1427,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
184,G1033,Investidor,Moderado,PJ,CRÍTICO,62.25,605433.65,0.0116,0.4365,98801.16,17142.12,80,5.0902,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
185,G0383,Qualificado,Moderado,PF,CRÍTICO,62.25,234903.16,0.0,0.6112,21758.92,6664.26,40,4.2849,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
186,G0819,Investidor,Moderado,PJ,CRÍTICO,62.0,2467591.38,0.0,0.4405,34757.75,10255.55,58,5.7303,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
187,G1335,Investidor,Moderado,PF,CRÍTICO,62.0,1011842.8,0.0,0.5712,87365.34,12972.63,27,5.2101,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
188,G0620,Investidor,Conservador,PF,CRÍTICO,62.0,5000000.0,0.0,0.2938,23397.2,12413.0,7,6.2422,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
189,G0581,Investidor,Conservador,PF,CRÍTICO,62.0,588624.3,0.0,0.4607,31989.59,9581.05,43,5.4589,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
190,G1176,Investidor,Moderado,PJ,CRÍTICO,62.0,2291559.13,0.0,0.6595,34299.52,16862.54,20,4.5471,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
191,G0135,Qualificado,Arrojado,PF,ALTO,61.75,243940.12,0.0,0.6584,10000.0,3917.88,91,5.5745,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
192,G2729,Alta Renda,Conservador,PF,ALTO,61.75,5000000.0,0.0461,0.4204,185028.83,135971.68,94,4.115,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
193,G1616,Investidor,Moderado,PF,ALTO,61.75,1437575.61,0.0,0.4826,61359.75,20024.75,36,4.0837,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
194,G0081,Qualificado,Moderado,PF,ALTO,61.75,206517.84,0.0,0.8077,16527.12,2082.34,32,4.8433,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
195,G0910,Investidor,Conservador,PF,ALTO,61.75,802629.91,0.0,0.7144,20150.0,267.61,47,4.9194,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
196,G0510,Investidor,Conservador,PF,ALTO,61.75,907166.11,0.0213,0.7125,123428.15,43544.57,8,4.5959,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
197,G0788,Investidor,Moderado,PF,ALTO,61.75,4199148.71,0.0143,0.4019,59048.21,31178.77,23,5.583,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
198,G0061,Qualificado,Moderado,PF,ALTO,61.75,109984.33,0.0,0.7431,10000.0,2556.54,18,5.4679,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
199,G2278,Alta Renda,Conservador,PF,ALTO,61.5,30000000.0,0.0,0.4843,177388.29,52400.99,20,4.3246,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
200,G0229,Qualificado,Sofisticado,PF,ALTO,61.5,424277.71,0.0,0.6332,19514.18,6378.46,62,6.0351,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
201,G0202,Qualificado,Conservador,PF,ALTO,61.5,182254.91,0.0,0.7778,10000.0,3218.16,11,4.6588,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
202,G0384,Qualificado,Conservador,PF,ALTO,61.5,230464.27,0.0,0.7003,10000.0,5256.11,24,3.73,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
203,G2264,Alta Renda,Arrojado,PF,ALTO,61.5,21250756.12,0.0181,0.611,123765.3,17576.25,90,5.0706,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
204,G0896,Investidor,Moderado,PJ,ALTO,61.5,1735618.41,0.0,0.6581,31652.36,7659.19,30,5.3509,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
205,G0489,Investidor,Conservador,PF,ALTO,61.5,1196697.22,0.0198,0.6667,67309.81,24637.07,14,6.4315,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
206,G0941,Investidor,Moderado,PJ,ALTO,61.5,3050775.94,0.0331,0.6127,52629.59,21603.48,24,7.0249,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
207,G0055,Qualificado,Moderado,PF,ALTO,61.5,100000.0,0.0392,0.5604,29816.96,18121.12,40,6.9573,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
208,G1923,Alta Renda,Conservador,PF,ALTO,61.25,5000000.0,0.0,0.5903,239363.33,3626.99,56,5.3844,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
209,G2494,Alta Renda,Moderado,PF,ALTO,61.25,15120252.66,0.0,0.3577,62049.99,20076.31,18,6.6967,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
210,G1798,Investidor,Conservador,PJ,ALTO,61.25,1367522.32,0.0,0.5131,199993.55,13676.07,23,5.2731,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
211,G0753,Investidor,Conservador,PF,ALTO,61.25,2795275.03,0.0,0.6541,14135.4,8424.71,56,3.9511,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
212,G0409,Qualificado,Arrojado,PF,ALTO,61.25,322606.11,0.0,0.9127,17713.82,4087.77,76,3.8493,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
213,G0621,Investidor,Conservador,PJ,ALTO,61.25,989668.61,0.0,0.6505,76008.47,9436.55,36,4.3215,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
214,G1479,Investidor,Moderado,PF,ALTO,61.0,2795632.46,0.0484,0.5335,89057.33,26216.67,73,6.0306,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
215,G0288,Qualificado,Conservador,PF,ALTO,61.0,100000.0,0.0014,0.5542,34814.01,10683.46,20,6.6201,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
216,G1116,Investidor,Moderado,PF,ALTO,61.0,1852563.34,0.0,0.6175,57236.68,22476.2,10,3.9258,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
217,G1041,Investidor,Arrojado,PF,ALTO,61.0,1115933.47,0.0,0.3671,73445.34,34861.15,50,6.4496,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
218,G0146,Qualificado,Conservador,PF,ALTO,61.0,388139.45,0.0356,0.5378,16639.54,13639.85,97,5.358,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
219,G1151,Investidor,Moderado,PF,ALTO,61.0,967497.06,0.0194,0.6944,54576.88,14677.23,19,6.1125,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
220,G0466,Investidor,Moderado,PF,ALTO,61.0,2695012.53,0.0063,0.5352,17561.84,11422.56,164,5.4982,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
221,G0909,Investidor,Arrojado,PF,ALTO,61.0,1710373.02,0.0,0.613,42374.2,3454.93,42,6.7665,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
222,G0851,Investidor,Arrojado,PF,ALTO,61.0,2877964.93,0.0,0.5446,57750.88,12327.05,81,7.2459,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
223,G0372,Qualificado,Conservador,PF,ALTO,61.0,134636.87,0.0,0.6999,11518.91,1919.41,96,4.4922,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
224,G0976,Investidor,Moderado,PF,ALTO,61.0,610359.04,0.0,0.5847,51534.86,283.66,8,5.8757,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
225,G1961,Alta Renda,Moderado,PF,ALTO,60.75,6026463.02,0.0,0.317,132017.37,24491.51,39,7.5733,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
226,G2020,Alta Renda,Conservador,PF,ALTO,60.75,11394056.28,0.0,0.5093,126318.53,31836.98,43,4.9492,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
227,G0494,Investidor,Moderado,PF,ALTO,60.75,546232.01,0.0469,0.6545,22376.57,14155.17,30,5.9118,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
228,G1608,Investidor,Conservador,PF,ALTO,60.75,1332505.79,0.0,0.4518,73004.48,20276.22,18,5.8534,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
229,G1248,Investidor,Moderado,PJ,ALTO,60.75,807944.75,0.0,0.5428,18123.9,2673.75,21,6.836,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
230,G0131,Qualificado,Moderado,PJ,ALTO,60.75,415852.63,0.042,0.5335,13226.04,4362.5,250,6.845,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
231,G1332,Investidor,Conservador,PF,ALTO,60.5,4598199.18,0.0,0.7976,10000.0,2007.2,26,5.2189,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
232,G1137,Investidor,Moderado,PJ,ALTO,60.5,1741526.01,0.0011,0.4896,101624.03,51163.58,40,5.0213,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
233,G1668,Investidor,Arrojado,PF,ALTO,60.5,1119841.67,0.0249,0.6343,63643.56,27935.08,17,6.1998,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
234,G2168,Alta Renda,Moderado,PF,ALTO,60.5,5000000.0,0.0,0.4519,176014.24,21560.73,57,4.8102,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
235,G0643,Investidor,Moderado,PJ,ALTO,60.5,5000000.0,0.0,0.686,114468.68,12127.13,43,5.1341,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
236,G2909,Wealth,Arrojado,PF,ALTO,60.5,59484931.05,0.0159,0.2558,209758.75,130752.55,18,5.9611,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
237,G2331,Alta Renda,Conservador,PF,ALTO,60.5,5000000.0,0.0,0.5853,80251.12,2583.26,7,4.541,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
238,G1591,Investidor,Arrojado,PF,ALTO,60.5,1423190.89,0.0348,0.6138,62574.03,12675.06,34,6.2437,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
239,G1320,Investidor,Moderado,PF,ALTO,60.5,1172890.81,0.0,0.4237,133906.86,38621.21,18,4.9994,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
240,G1969,Alta Renda,Conservador,PF,ALTO,60.25,7318816.55,0.0,0.4151,115051.11,31196.92,23,3.9165,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
241,G0183,Qualificado,Moderado,PF,ALTO,60.25,193682.4,0.0119,0.5184,21825.7,5269.95,45,6.4129,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
242,G1191,Investidor,Moderado,PF,ALTO,60.25,1234231.75,0.0,0.5591,76716.79,13352.86,38,4.5394,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
243,G1767,Investidor,Conservador,PF,ALTO,60.25,709291.91,0.0,0.5051,43891.39,10971.15,64,5.0506,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
244,G0432,Qualificado,Conservador,PF,ALTO,60.25,298272.47,0.0,0.6499,10000.0,2310.81,10,6.198,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
245,G1998,Alta Renda,Conservador,PF,ALTO,60.25,24827390.02,0.0191,0.7337,88129.2,45098.96,43,4.5192,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
246,G0886,Investidor,Moderado,PF,ALTO,60.25,5000000.0,0.0,0.5651,42860.85,7113.6,56,4.8339,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
247,G0511,Investidor,Moderado,PF,ALTO,60.25,2434645.08,0.0,0.4994,24513.78,3680.9,71,5.8577,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
248,G1914,Alta Renda,Conservador,PJ,ALTO,60.25,5000000.0,0.0296,0.5185,90606.75,43338.83,135,5.6057,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
249,G2157,Alta Renda,Moderado,PF,ALTO,60.0,5000000.0,0.0411,0.6367,78830.24,23616.63,63,6.3529,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
250,G0456,Investidor,Conservador,PF,ALTO,60.0,1258933.58,0.0,0.36,33661.43,21071.14,14,5.5278,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
251,G0554,Investidor,Moderado,PF,ALTO,60.0,2457425.73,0.0,0.5684,84429.55,15894.44,9,4.7392,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
252,G1271,Investidor,Moderado,PJ,ALTO,60.0,2165238.82,0.0,0.4529,12669.22,1737.81,88,5.1721,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
253,G2428,Alta Renda,Arrojado,PF,ALTO,60.0,16734052.83,0.0124,0.5606,70139.92,10889.41,49,6.6178,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
254,G2155,Alta Renda,Arrojado,PF,ALTO,60.0,30000000.0,0.0,0.5008,162742.05,104530.31,17,5.1277,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
255,G1122,Investidor,Conservador,PF,ALTO,60.0,500000.0,0.0,0.6996,21298.93,10331.58,28,5.1196,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
256,G2504,Alta Renda,Moderado,PF,ALTO,60.0,19704426.26,0.0096,0.5068,72219.94,14640.24,30,6.0817,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
257,G1582,Investidor,Moderado,PF,ALTO,60.0,1880094.27,0.0,0.6614,57584.32,22226.93,26,3.6604,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
258,G2243,Alta Renda,Arrojado,PF,ALTO,59.75,11102389.51,0.0286,0.2105,321347.61,57754.62,17,6.6338,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
259,G1753,Investidor,Moderado,PF,ALTO,59.75,1529988.54,0.0,0.5733,24169.95,9170.59,12,4.6516,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
260,G1013,Investidor,Arrojado,PF,ALTO,59.75,1309967.88,0.0136,0.686,75663.09,10484.75,11,6.6699,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
261,G2309,Alta Renda,Moderado,PF,ALTO,59.75,5670799.89,0.0,0.2758,101317.68,50871.24,27,4.7737,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
262,G2808,Wealth,Moderado,PF,ALTO,59.75,49298096.69,0.0,0.1553,293864.06,55876.76,20,5.0532,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo
263,G0611,Investidor,Arrojado,PF,ALTO,59.75,1364620.32,0.0,0.7012,35587.97,14934.87,4,4.5884,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
264,G2129,Alta Renda,Moderado,PF,ALTO,59.75,5000000.0,0.0,0.3725,126307.4,57557.33,27,4.7948,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
265,G0233,Qualificado,Arrojado,PF,ALTO,59.75,129870.56,0.0,0.7314,13986.07,2379.23,89,5.7339,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
266,G0709,Investidor,Conservador,PF,ALTO,59.75,2211495.58,0.0,0.5928,40295.19,8011.14,19,4.4677,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
267,G0074,Qualificado,Arrojado,PF,ALTO,59.75,146693.84,0.0005,0.5614,14186.93,985.08,205,5.0657,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
268,G1474,Investidor,Moderado,PF,ALTO,59.75,2006282.36,0.0343,0.6562,62751.32,35425.91,57,5.5028,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
269,G1329,Investidor,Moderado,PF,ALTO,59.75,3162591.92,0.0,0.5668,55934.77,2472.0,28,5.0108,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
270,G2141,Alta Renda,Arrojado,PF,ALTO,59.75,12763574.61,0.0,0.5831,1355905.99,18732.78,33,5.8868,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
271,G0356,Qualificado,Conservador,PF,ALTO,59.5,211591.86,0.0,0.595,10000.0,2489.58,31,5.541,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
272,G2483,Alta Renda,Arrojado,PF,ALTO,59.5,9559961.87,0.0,0.4646,43464.0,22689.53,40,6.6911,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
273,G0282,Qualificado,Arrojado,PF,ALTO,59.5,212683.5,0.0016,0.6643,26919.63,3498.54,14,6.0285,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
274,G0797,Investidor,Moderado,PF,ALTO,59.5,1582718.54,0.0019,0.6167,88634.76,25162.51,10,5.2129,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
275,G0301,Qualificado,Moderado,PF,ALTO,59.5,179789.95,0.0,0.8386,15609.32,5951.96,18,4.3452,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
276,G2126,Alta Renda,Sofisticado,PF,ALTO,59.5,5000000.0,0.0288,0.3548,56097.37,39285.8,117,5.69,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
277,G1187,Investidor,Moderado,PJ,ALTO,59.5,2305727.86,0.0,0.4725,61669.65,9326.69,20,5.6525,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
278,G0664,Investidor,Moderado,PF,ALTO,59.5,2111346.21,0.0,0.5419,10806.0,2980.75,19,5.9802,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
279,G0310,Qualificado,Moderado,PF,ALTO,59.5,189523.46,0.036,0.7289,28369.14,5758.63,68,6.8292,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
280,G2339,Alta Renda,Moderado,PF,ALTO,59.5,5000000.0,0.0,0.4648,79212.93,6647.48,19,6.0364,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
281,G0723,Investidor,Arrojado,PF,ALTO,59.25,1890168.28,0.0,0.4201,93741.74,23201.48,17,6.5684,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
282,G0635,Investidor,Conservador,PF,ALTO,59.25,975921.7,0.0291,0.6101,11264.52,83.61,153,6.0898,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
283,G1015,Investidor,Sofisticado,PJ,ALTO,59.25,4261227.31,0.0,0.7353,65561.85,2322.74,19,6.7886,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
284,G0219,Qualificado,Conservador,PJ,ALTO,59.25,128577.26,0.0039,0.7391,10000.0,1398.57,64,4.8192,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
285,G1441,Investidor,Moderado,PJ,ALTO,59.25,1325697.76,0.0,0.5799,34639.72,2574.62,57,5.3925,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
286,G2467,Alta Renda,Arrojado,PF,ALTO,59.25,5585845.8,0.012,0.6627,190018.98,59500.85,1,4.8271,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
287,G2025,Alta Renda,Conservador,PF,ALTO,59.25,9035098.27,0.0,0.494,105992.53,18483.47,12,5.0625,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
288,G2489,Alta Renda,Conservador,PJ,ALTO,59.25,12092748.37,0.0,0.5113,186378.22,27806.16,11,5.3106,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
289,G1433,Investidor,Conservador,PF,ALTO,59.0,5000000.0,0.0,0.6176,49832.7,19007.24,7,4.6319,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
290,G0476,Investidor,Moderado,PF,ALTO,59.0,781625.06,0.0259,0.517,57448.44,35402.61,18,6.6294,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
291,G1445,Investidor,Conservador,PJ,ALTO,59.0,1217008.23,0.0,0.5916,15118.1,238.57,16,5.4129,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
292,G1390,Investidor,Conservador,PF,ALTO,59.0,4565813.35,0.0155,0.5193,157315.26,7762.31,10,7.1272,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
293,G0006,Qualificado,Conservador,PF,ALTO,59.0,231384.39,0.031,0.7803,11160.48,3489.81,6,7.1853,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
294,G0668,Investidor,Arrojado,PF,ALTO,59.0,1139796.13,0.0,0.4447,29805.78,18594.3,16,6.2816,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
295,G0010,Qualificado,Conservador,PF,ALTO,59.0,340025.85,0.0045,0.8263,13739.76,4109.23,29,5.6426,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
296,G1727,Investidor,Arrojado,PF,ALTO,59.0,5000000.0,0.0189,0.5959,24584.91,9280.92,71,6.0322,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
297,G0614,Investidor,Arrojado,PF,ALTO,59.0,3057914.04,0.0589,0.5877,124325.97,64496.56,41,7.8582,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
298,G0661,Investidor,Moderado,PF,ALTO,59.0,1594006.45,0.0,0.4957,80662.16,12857.73,74,4.1399,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
